executor,judge,seed,taskId,correct,runId
Haiku 4.5,规则,7,t001,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t002,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t003,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t004,0,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t005,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t006,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t007,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t008,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t009,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t010,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t011,0,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t012,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t013,0,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t014,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t015,0,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t016,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t017,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t018,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t019,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t020,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t021,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t022,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t023,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t024,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t025,0,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t026,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t027,0,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t028,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t029,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t030,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t031,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t032,0,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t033,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t034,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t035,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t036,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t037,0,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t038,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t039,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t040,0,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t041,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t042,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t043,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t044,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t045,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t046,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t047,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t048,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t049,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t050,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t051,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t052,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t053,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t054,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t055,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t056,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t057,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t058,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t059,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t060,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t061,0,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t062,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t063,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t064,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t065,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t066,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t067,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t068,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t069,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t070,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t071,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t072,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t073,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t074,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t075,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t076,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t077,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t078,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t079,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t080,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t081,0,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t082,0,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t083,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t084,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t085,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t086,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t087,0,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t088,0,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t089,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t090,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t091,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t092,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t093,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t094,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t095,1,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,7,t096,0,swarm-rules-20260923-152617-a404
Haiku 4.5,规则,11,t001,1,swarm-rules-20260924-021956-fc83
Haiku 4.5,规则,11,t002,0,swarm-rules-20260924-021956-fc83
Haiku 4.5,规则,11,t003,1,swarm-rules-20260924-021956-fc83
Haiku 4.5,规则,11,t004,1,swarm-rules-20260924-021956-fc83
Haiku 4.5,规则,11,t005,1,swarm-rules-20260924-021956-fc83
Haiku 4.5,规则,11,t006,1,swarm-rules-20260924-021956-fc83
Haiku 4.5,规则,11,t007,1,swarm-rules-20260924-021956-fc83
Haiku 4.5,规则,11,t008,1,swarm-rules-20260924-021956-fc83
Haiku 4.5,规则,11,t009,1,swarm-rules-20260924-021956-fc83
Haiku 4.5,规则,11,t010,1,swarm-rules-20260924-021956-fc83
Haiku 4.5,规则,11,t011,1,swarm-rules-20260924-021956-fc83
Haiku 4.5,规则,11,t012,1,swarm-rules-20260924-021956-fc83
Haiku 4.5,规则,11,t013,1,swarm-rules-20260924-021956-fc83
Haiku 4.5,规则,11,t014,1,swarm-rules-20260924-021956-fc83
Haiku 4.5,规则,11,t015,1,swarm-rules-20260924-021956-fc83
Haiku 4.5,规则,11,t016,1,swarm-rules-20260924-021956-fc83
